2019-12-05 00:30:08 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2019-12-05 00:30:08 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-12-05 00:30:08 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-12-05 00:30:08 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-12-05 00:30:09 INFO  Version:46 - HHH000412: Hibernate Core {5.4.6.Final}
2019-12-05 00:30:09 INFO  Environment:184 - HHH000205: Loaded properties from resource hibernate.properties: {hibernate.c3p0.timeout=1800, hibernate.connection.driver_class=org.postgresql.Driver, hibernate.c3p0.max_statements=50, hibernate.temp.use_jdbc_metadata_defaults=false, hibernate.dialect=org.hibernate.dialect.PostgreSQLDialect, hibernate.c3p0.max_size=20, hibernate.c3p0.min_size=5, hibernate.connection.username=hamzaya, hibernate.connection.url=jdbc:postgresql://localhost/CourierCompany, hibernate.show_sql=true, hibernate.bytecode.use_reflection_optimizer=false, hibernate.connection.password=****}
2019-12-05 00:30:09 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2019-12-05 00:30:09 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2019-12-05 00:30:09 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2019-12-05 00:30:09 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2019-12-05 00:30:09 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2019-12-05 00:30:09 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@7745ab53
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@7745ab53
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7745ab53
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7bfc04b
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@62ba6874
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@77762510
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@414a6173
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@414a6173
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@414a6173
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@ac261a5
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@ac261a5
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@ac261a5
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@43b4d3db
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@43b4d3db
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@43b4d3db
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@2a6ca0ef
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@2a6ca0ef
2019-12-05 00:30:09 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2a6ca0ef
